,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,16238786,1e-05
1,20.0,0.0,-12.659195295276291,16238786,1e-05
2,30.0,0.0,-1.0,16238786,1e-05
3,0.0,0.0,-39.0,10871764,1e-05
4,20.0,0.0,-40.36971158255409,10871764,1e-05
5,40.0,0.0,-15.999999999999993,10871764,1e-05
6,0.0,0.0,-61.0,85511295,1e-05
7,20.0,0.0,-52.79776704875431,85511295,1e-05
8,60.0,0.0,-27.0,85511295,1e-05
9,0.0,0.0,-72.0,70328160,1e-05
10,30.0,0.0,-55.5,70328160,1e-05
11,60.0,0.0,-39.0,70328160,1e-05
12,20.0,0.0,-76.46322815887345,62922502,1e-05
13,60.0,0.0,-52.0,62922502,1e-05
14,70.0,0.0,-77.0,89484551,1e-05
15,80.0,0.0,-71.0,89484551,1e-05
