,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,38019789,1e-05
1,20.0,0.0,-14.93611437963861,38019789,1e-05
2,30.0,0.0,-1.0,38019789,1e-05
3,0.0,0.0,-39.0,40546055,1e-05
4,20.0,0.0,-29.8186348757448,40546055,1e-05
5,40.0,0.0,-15.999999999999993,40546055,1e-05
6,0.0,0.0,-61.0,32377849,1e-05
7,20.0,0.0,-51.970341099066545,32377849,1e-05
8,60.0,0.0,-27.0,32377849,1e-05
9,0.0,0.0,-72.0,82113930,1e-05
10,30.0,0.0,-55.5,82113930,1e-05
11,60.0,0.0,-39.0,82113930,1e-05
12,20.0,0.0,-76.67722838414697,95074785,1e-05
13,60.0,0.0,-52.0,95074785,1e-05
14,70.0,0.0,-77.0,46288515,1e-05
15,80.0,0.0,-71.0,46288515,1e-05
